regionName,dataDate,mint,maxt
北部地區,2026-04-15,22,30
北部地區,2026-04-16,22,29
北部地區,2026-04-17,22,29
北部地區,2026-04-18,21,27
北部地區,2026-04-19,20,27
北部地區,2026-04-20,20,28
北部地區,2026-04-21,20,29
中部地區,2026-04-15,21,32
中部地區,2026-04-16,22,31
中部地區,2026-04-17,22,31
中部地區,2026-04-18,21,30
中部地區,2026-04-19,21,29
中部地區,2026-04-20,21,29
中部地區,2026-04-21,21,29
南部地區,2026-04-15,22,32
南部地區,2026-04-16,24,31
南部地區,2026-04-17,24,32
南部地區,2026-04-18,23,31
南部地區,2026-04-19,23,29
南部地區,2026-04-20,22,29
南部地區,2026-04-21,22,30
東北部地區,2026-04-15,23,29
東北部地區,2026-04-16,23,28
東北部地區,2026-04-17,23,28
東北部地區,2026-04-18,21,25
東北部地區,2026-04-19,20,25
東北部地區,2026-04-20,19,26
東北部地區,2026-04-21,20,27
東部地區,2026-04-15,23,28
東部地區,2026-04-16,23,28
東部地區,2026-04-17,23,28
東部地區,2026-04-18,22,26
東部地區,2026-04-19,21,25
東部地區,2026-04-20,21,26
東部地區,2026-04-21,22,27
東南部地區,2026-04-15,23,29
東南部地區,2026-04-16,23,29
東南部地區,2026-04-17,23,30
東南部地區,2026-04-18,23,28
東南部地區,2026-04-19,23,28
東南部地區,2026-04-20,22,28
東南部地區,2026-04-21,22,28
